Semana;Categoría;Ranking;Título;Autor;Semanas en ranking;Género
20 de febrero 2022;Combined Print & E-Book Nonfiction;4;THE POWER OF REGRET; Daniel H. Pink;1;Autoayuda
20 de febrero 2022;Combined Print & E-Book Nonfiction;5;HOW TO BE PERFECT;Michael Schur;2;Autoayuda
20 de febrero 2022;Combined Print & E-Book Nonfiction;6;CRYING IN H MART;Michelle Zauner;19;Autobiografía
20 de febrero 2022;Combined Print & E-Book Nonfiction;7;UNTAMED;Glennon Doyle;84;Autobiografía
20 de febrero 2022;Combined Print & E-Book Nonfiction;8;DILLA TIME;Dan Charnas;1;Autobiografía
20 de febrero 2022;Combined Print & E-Book Nonfiction;9;ENOUGH ALREADY;Valerie Bertinelli;3;Autobiografía
20 de febrero 2022;Combined Print & E-Book Nonfiction;10;THE BETRAYAL OF ANNE FRANK;Rosemary Sullivan;3;Historia
20 de febrero 2022;Combined Print & E-Book Nonfiction;11;WILL;Will Smith;13;Autobiografía
20 de febrero 2022;Combined Print & E-Book Nonfiction;12;ALL ABOUT LOVE;Bell Hooks;8;Autoayuda
20 de febrero 2022;Combined Print & E-Book Nonfiction;13;SOUTH TO AMERICA;Imani Perry;2;Historia
